nom;prenom;fonction;adresse;telephone;skipper
le cam;alfayad;président;grenoble;04-76-12-34-56;t
davies;antoine;vice-président;grenoble;04-76-23-45-67;t
bestaven;jean-emmanuel;vice-président;meylan;04-76-34-56-78;f
beyou;matis;secrétaire;grenoble;04-76-45-67-89;f
burton;laureen;trésorier;meylan;04-76-91-23-45;t
cremer;robin;membre actif;veurey;04-76-12-23-34;f
dalin;mohammed;membre actif;st-égrève;04-76-23-34-45;f
attanasio;nacer;membre actif;st-ismier;04-76-34-45-56;f
escoffier;samuel;membre actif;meylan;04-76-45-56-67;f
herrmann;cyprien;membre actif;grenoble;04-76-56-67-78;t
joschke;laurent;membre actif;échirolles;04-76-67-78-89;f
amedeo;celestin;autre;st-égrève;04-76-11-22-33;f
ruyant;noha;autre;veurey;04-76-22-33-44;t
thomson;anna;autre;st-ismier;04-76-33-44-55;f
shiraishi;victor;autre;grenoble;04-76-44-55-66;f
merron;thomas;autre;grenoble;04-76-55-66-77;f
barrier;fantine;autre;voiron;04-76-66-77-88;f
huusela;tais;autre;vif;04-76-77-88-99;f
le diraison;farah;autre;st-ismier;04-76-13-46-79;t
